owner,title,sector,ownership,description,associations,link,status,model_development,address,city,country,region,project_start,project_end
Vestfold og Telemark fylleskommune,Samtaleroboten chatVTFK,Oppvekst & utdanning,Informasjon mangler,Samtaleroboten chatVTFK,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Vestfold og Telemark fylleskommune,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Vestre viken helseforetak,Vi ser for eksempel på mulighet for akutt røntgen tolkning til kommunene av bruddskader,Helse & omsorg,Informasjon mangler,"Vi ser for eksempel på mulighet for akutt røntgen tolkning til kommunene av bruddskader. Vi har røntgen-app på alle våre legekontor. Dette er ikke satt i prosjekt mot kommunene enda, men Vestre Viken har allerede tatt i bruk KI i radiologisk avdeling.",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Vestre viken helseforetak,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Indigo IKT,Pågående testing av Brukerstøtte-AI (basert på OpenAI/ChatGPT),Tverrsektoriell,Informasjon mangler,Pågående testing av Brukerstøtte-AI (basert på OpenAI/ChatGPT),Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Indigo IKT,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Indigo IKT,AI til programmering (for det meste ChatGPT 4),Tverrsektoriell,Informasjon mangler,AI til programmering (for det meste ChatGPT 4),Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Indigo IKT,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Indigo IKT,AI til å genere bilder til visning på vår nettside (indigo-ikt,Tverrsektoriell,Informasjon mangler,AI til å genere bilder til visning på vår nettside (indigo-ikt.no). Primært Midjourney og Firefly. Noen av våre eierkommuner har også begynt med dette.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Indigo IKT,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Indigo IKT,Løsning tilsvarende Randabergskolen,Oppvekst & utdanning,Informasjon mangler,Løsning tilsvarende Randabergskolen,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Indigo IKT,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,UiB forskningsprosjekt - Studie av tillit til KI i utdannings sektør - inkl,Oppvekst & utdanning,Informasjon mangler,"UiB forskningsprosjekt - Studie av tillit til KI i utdannings sektør - inkl. Juridisk perspektiv

EduTrust AI: Layers of Trust",Informasjon mangler,Informasjon mangler,Oppstart 1. nov,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Agder,KI-portal for de videregående skolene i Agder,Oppvekst & utdanning,Informasjon mangler,"KI-portal for de videregående skolene i Agder. Bygger på teknisk oppskrift som Randabergskolene, men med prateroboter tilpasset vgs.",Informasjon mangler,Informasjon mangler,Status: Planlagt/pågående. ,Informasjon mangler,Informasjon mangler,Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Agder,Tilgjengeliggjøre NDLA sin praterobot for elevene,Oppvekst & utdanning,Informasjon mangler,Tilgjengeliggjøre NDLA sin praterobot for elevene,Informasjon mangler,Informasjon mangler,Planlagt,Informasjon mangler,Informasjon mangler,Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Kristiansand,KI-søk på kunnskapsbaser mellom personal/lønn,Tverrsektoriell,Informasjon mangler,KI-søk på kunnskapsbaser mellom personal/lønn,Informasjon mangler,Informasjon mangler,Planlagt,Informasjon mangler,Informasjon mangler,Kristiansand,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Kristiansand,Robot skal anskaffes på dokumentsenteret,Tverrsektoriell,Informasjon mangler,Robot skal anskaffes på dokumentsenteret.,Informasjon mangler,Informasjon mangler,Planlagt,Informasjon mangler,Informasjon mangler,Kristiansand,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Kristiansand,Prosjekt for uttesting av KI på helsedata,Helse & omsorg,Informasjon mangler,Prosjekt for uttesting av KI på helsedata. ,Informasjon mangler,Informasjon mangler,Avsluttet - konkludert ikke egnet,Informasjon mangler,Informasjon mangler,Kristiansand,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Det digitale Vestre Agder, Bruk av KI ved servicehenvendelser,Tverrsektoriell,Informasjon mangler, Bruk av KI ved servicehenvendelser,Informasjon mangler,Informasjon mangler,Pågår,Informasjon mangler,Informasjon mangler,Det digitale Vestre Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Det digitale Vestre Agder,Utnytte KI til dokumentfangst for arkivering,Tverrsektoriell,Informasjon mangler,Utnytte KI til dokumentfangst for arkivering. ,Informasjon mangler,Informasjon mangler,Planlagt,Informasjon mangler,Informasjon mangler,Det digitale Vestre Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
DigiAgder,Uttesting av CoPilot på interne dokumenter,Tverrsektoriell,Informasjon mangler,Uttesting av CoPilot på interne dokumenter.,Informasjon mangler,Informasjon mangler,Planlgt,Informasjon mangler,Informasjon mangler,DigiAgder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bamble,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m",Helse & omsorg,Informasjon mangler,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m.m.",Informasjon mangler,Informasjon mangler,Pågår,Informasjon mangler,Informasjon mangler,Bamble,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Drammen,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Tverrsektoriell,Informasjon mangler,Bruk av kunstig intelligens for bedre kontroll av informasjon i inn- og utgående dokumenter,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Drammen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Sarpsborg,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m",Helse & omsorg,Informasjon mangler,"Velferdsteknologi der KI i større og mindre grad er implementert for å benytte algoritmer og vurdere varslingsmønstre, aktivitetsnivå m.m.",Informasjon mangler,Informasjon mangler,Pågår,Informasjon mangler,Informasjon mangler,Sarpsborg,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
